index,Title,Review
1,Mebs,"Initially as a young family of four, we have been coming to Ginger Leaf, situated in the Hilton Hotel Jeddah for the past 7 years. 

It is the go to restaurant for it's consistent, amazing high quality Indian food, excellent ambience and environment, location and hospitality led by the amazing manager who after years has become a good friend, Mr. Nadeem. Along with his highly skilled Chefs and waiting staff we will forever cherish our amazing experiences of dining at Ginger Leaf.

To Mr. Nadeem and his team of staff, the Chefs and the front of house staff who have made our visit to Ginger Leaf so delightful over the years, we would like to express our sincere gratitude and kindness for the years of consistent service and high quality food. 

At every occasion we have visited we have enjoyed ourselves and thus it became a custom in our household that for birthdays, anniversaries or any celebration meals we would always come to Ginger Leaf. 

Our signature order, Hariyali Lamb Chops (devine), Chicken Tikka Massala (Perfection) Garlic Nans (best in Jeddah) was known by the staff throughout the years. Our boys now grown up, grew up loving the Lamb Chops and the Chicken Tikka Massala because of Ginger Leaf. No other restaurant in Jeddah even comes close to matching the standard and quality of food which we have come to be accustomed to. 

Thank you to all for the years of Great food and warm hospitality. 

Love The Master Family

If you haven't visited Ginger Leaf and love Indian food then book yourself a visit and treat yourself to an amazing meal experience."
2,Anjhana B,"I wish to thank everyone involved in the preparation & presentation of our Indian veg dish on last Saturday evening. It was fantastic & exceptional in taste & we absolutely enjoyed selection of starters & main courses. It made our evening very memorable !!!
Special mention to Mr. Nadeem and team for amazing hospitality & service.
Thanks to Chef too..."
3,Stephan,"We enjoyed a memorable evening at the Ginger Leaf restaurant. The food was excellent, and the service exceptional. The Head Chef explained the dishes in detail at the table, making it easy for us to make the proper selection. Thanks for a great evening, and we will be back soon."
4,Maurits V,"This Indian restaurant is located at the Hilton, lower lobby level. Quiet restaurant with attentive and friendly service. Extensive menu, difficult to choose from. The food was very good and very nicely presented. Large portions. I had asked medium spicy (to be careful) and that was not excessive. Maybe I should have gone for regular spicy. Overall an excellent experience at an affordable price. Good value for your money."
5,prince,"Amazing food and service also good
I had dinner with my family at orchid food, curry was amazing and service was up to the mark felt wow at table where they anticipated the needs while dinner. Big thanks to all...will be back soon..."
6,Adventure31802922822,"From the moment you walk down to Ginger leaf in Hilton, you're greeted with Big Smile !! it gives a very comfortable feel and taken to our seats..
Then the Food !!  We had Veg. Briyani, Dal Makani, Aloo Paratha and Roti, it was Absolutely Fantastic & very delicious. Deserts were fantastic and fresh orange juice was amazing.. Definitely we are going back to this wonderful restaurant again.. Staff is very professional and hospitality is great. Mr. Nadeem & team are outstanding !!"
7,Alok kumar,"visited jeddah with my friends n was looking for indian food . my friend suggested me to visit in ginger leaf restaurant. n really when i tasted food it was delicous like india..
we can say authentic indian food."
8,Muhanad Ali,"Great place, great environment, great hospitality, great food.
Everything was just perfect!
It was our anniversary and I spoke to Nadeem to prepare some flowers on the table, he did the best job. I really thank him and his team for their efforts.
We reach and found everything was ready and romantic, we ate and the food was amazing, for that I would like to thank the amazing CHEFs Manvender & Safdar. After the food, they surprised us with an amazing Chocolate Cake. During our time in the restaurant, Miss Avegail was very very helpful, she did everything with a smile and happiness. Thanks again to Nadeem, Avegail and the Chefs for making OUR night!"
9,Ove L,"Wonderful food, great ambience, amazing service. When travelling , little things like friendly people, staff add to your memories. Ginger Leaf is all that and more. I wish the team all the best , keep striving for better ."
10,Camper55246308180,"Love the food it's too good very much my types very rich food 
Vegetarian has many choices 
Very happy with all the dishes I had"
11,khaja z,"Great for candle light dinner birthday party. ambience and food Is very gud have ordered platter chef special 10/10 chicken soup 7/10 luknowi nihari 9/10 makhani paratha 9/10 
Must visit and staff is very gud at hospitality"
12,Shine Reniedo,Thanks to Mr.Nadeem for the service and The delicious foods and also to kevin and james Thanks again... In Sha Allah we will come back. ðŸ¥°ðŸ¥°ðŸ¥°
13,Yumi S,Found this restaurant on TripAdvisor and was not disappointed. The man who I assume is the boss was very helpful providing some guidance on what to have. Good ambiance. Great food. Excellent service. Garlic naan bread was delicious. Chicken marsala and seafood platter were stellar! Added a couple of naan to mop up the masala. Definitely will come back to try some other dishes.
14,Wilfred R,"This was an amazing place to go, very accommodating staff. Will surely go back again when have time, will include my friends too!"
15,Salahoden D,"That was my first time to eat Indian foods, and it was amazing and excellent  beyond my expectation. The staff services so accommodating. Iâ€™ll be back soon with my friends."
16,Saurabh gupta,A perfect place for indian food lover . Tikka and kebabs are awesome . Service n decor is also amazing .. everyone must visit once .
17,Rohit,"*PERFECTLY AMAZING* 
It’s a great experience,The ambiance is very welcoming and  relaxing place Amazing food and service.,Staff are extremely knowledgeable and make great recommendations.
Great service and food experience"
18,Mila T,"Title; BIRTHDAY CELEBRATION
this lovely restaurant  was so amazing The staff truly cares about your experience,The food is absolutely amazing,the incharge of restaurant give us nice table with flower arrangement,we thanks for all the staff,chef and incharge of this restaurant,100% we will back soon,Highly recommend!"
19,hitsh,"The restaurant is very fancy and the service is top notch 
The food is exquisite even the music played nice"
20,Peter S,"Really authentic Indian cuisine at very reasonable prices. My colleagues and I eat here whenever we are in Jeddah on business and the meals are always great.
I would highly recommend this restaurant"
21,Sherry B,"At first me and my friends are hesitated to eat indian food but we realized its already late 11pm and we dont want to go outside our hotel we checked in so we decide to dine to this restaurant.. To our surprised foods are very tasty and it really satisfied our taste bud.. Will difinitely go back again :)
Ginger Leaf Indian Restaurant is Located inside Jeddah Hilton Hotel"
22,Muzeeb N,"I visit with my friend  it's nice restaurant and very friendly staff .chicken Tikka masla and and lobestar butter masala and hariyali chaap I order .when test this three iteam it's very nice in test  and totally flavour of real Indian spice   irealy enjoy my dinner .I recommended to  visit onec there
Thanks for lovely dinner and the service"
23,Faisal,The biryani was very delicious and the kabab was very tender and soft and very tasty.The service was also very nice.excelent resturant to visit with you family and loved ones
24,Ghassan,"As a couple we selected Indian cousin for tge dinner 🍽️. We had many experonces on several Indian restaurant in the city.  Giner Leaf was never tried.  So the decision was made to try it especially it is located in Hilton hotel with very elegant setting with quite environment. 

Authenticity 8/10
Ambience 10/10
Service 10/10
Deliciousness 8/10
Food is hot & fast serving 10/10
Chicken tekka 6/10
Chicken ginger masala 8/10
Samosa 7/10
mango mint smothi 9/10
Bryani 8/10
Value of money  overprice 6/10
Over all  8/10"
25,Raza76,"Its been a struggle for a while to find Indian food in stay with different hotels in Jeddah (specially corniche road), untill I got this one.
Very nice food, friendly staff, taste is real. If you have taste buds for Indio-pakistani food, this is the place, which will not disappoint you."
26,JULIUS MARK J,"WE came all the way from Riyadh and it’s our first time to visit your restaurant @ Hilton hotel.The food was absolutely wonderful, from preparation to presentation, very pleasing. We especially enjoy the atmosphere and the ambience was so amazing.they had a well trained staff from the front line receptionist and waiters as well.i would like also to commend the supervision of the manager for the high quality service they rendered to us.thankyou for giving us a wonderful dinning experience.looking forward to visit your restaurant again...good job keep it up. #gingerleaf"
27,Rana0426,"Had chicken tikka masala, mix veg, variety of naan,made me comfortable to live in Jeddah. Restaurant is small but impressive and attractive. Service is really good and staff is polite in nature. Best part is that you will not only return with satisfied tummy but also with a good friend added to your list who is none other than Mr Nadeem. This guy talks to you and make you feel comfortable with food and place in no time. I am in touch with him and also met few other folks there. Overall, this place is not only to just go and have food but also to make you feel like at home specifically for Indians."
28,Mohammed Azam,"This restaurant has really gone down the pits. I came here twice before for family dinners and was very satisfied. I don't know whether it is a change of management or the chefs but it is unspeakably worse than even some of the the most known budget-friendly Indian restaurants. Last night I had booked a large family dinner for an occasion and good heavens was it a massive tragedy. The meat items (kebabs, nihari, raan) on the menu were all just plain bad without the flavor and barely edible. Same with the mutton biryani we ordered. The chicken meethi malai, butter chicken, prawn chaat and dilli chaat were good but still unacceptable considering the pedigree and price category of this restaurant. I didn't even order dessert because the food left such a bad taste. The manager knocked the price off of one item because I complained but after getting back home both me and two of my guests got sick. I'm suspecting it was one of the meat items. I had given this place a glowing review on TripAdvisor before, so posting a new one to let people know just how downhill this place has gone."
29,Venture819118,its amazing dinner with family .nice and delouses food especially chicken tikka masala bhuna ghost and tandoori chicken and yummy murg mallei kebab its amazing food and nice service . I would like thanks to all staff for who made our dinner is memorable. and thanks for all staff. this best place for Indian food in Jeddah its ginger leaf.
30,Amina H,"Great service..Lovely atmosphere.  Complimentary starter was great.  The rest of the meal was just OK.  For the price, I expected more.."
